accuracy,loss,val_accuracy,val_loss
0.8436965346336365,0.5866467356681824,1.0,0.003176602767780423
0.9995925426483154,0.014144414104521275,1.0,0.001901845564134419
0.999918520450592,0.0038333504926413298,1.0,0.0006841191207058728
1.0,0.0016771185910329223,1.0,0.0003852490917779505
1.0,0.0010851311963051558,1.0,0.00024489674251526594
1.0,0.0007363889599218965,1.0,0.0001798937882995233
1.0,0.0004977880162186921,1.0,0.00011447170982137322
1.0,0.00037251156754791737,1.0,8.81403757375665e-05
1.0,0.00024674987071193755,1.0,5.311873974278569e-05
1.0,0.0002102153521263972,1.0,3.535305950208567e-05
1.0,0.00013783981557935476,1.0,3.7695815990446135e-05
1.0,8.200381853384897e-05,1.0,1.9646637156256475e-05
1.0,7.094135071383789e-05,1.0,1.6240455806837417e-05
1.0,6.379123806254938e-05,1.0,1.6304275050060824e-05
1.0,4.96435422974173e-05,1.0,1.389737008139491e-05
1.0,4.98288354719989e-05,1.0,8.38731193653075e-06
1.0,2.9575439839391038e-05,1.0,5.744006102759158e-06
1.0,2.217695873696357e-05,1.0,4.647315108741168e-06
1.0,1.713122401270084e-05,1.0,3.2878051570151e-06
1.0,1.359702946501784e-05,1.0,2.67649261331826e-06
